#t,cputime,freemem,threads
625288424708,8240000000,8003936256,37
655304412118,8330000000,8002490368,37
685310430359,8420000000,8001822720,37
715316289551,11540000000,7832326144,45
745322668647,11690000000,7831003136,45
775329736571,14310000000,7753142272,45
805337354653,14390000000,7753142272,45
835342878731,16940000000,7646601216,46
865349310554,17020000000,7646593024,47
895354935364,19780000000,7646855168,46
925361552065,19850000000,7646855168,46
955366868452,22910000000,7659806720,46
985373841686,23040000000,7659806720,46
1015379616334,26310000000,7671377920,45
1045386357174,26380000000,7671377920,45
1075394136150,30080000000,7691550720,46
1105400390206,30140000000,7691669504,46
1135405989560,34450000000,7697891328,45
1165412446782,34540000000,7697883136,46
1195417914832,38400000000,7715905536,47
1225423999546,38470000000,7715778560,47
1255429085433,42420000000,7721627648,46
1285435428198,42470000000,7721500672,46
1315440699326,46210000000,7680741376,46
1345446883797,46260000000,7680487424,46
1375451566076,50050000000,7692550144,46
1405457724654,50100000000,7692431360,46
1435462875500,53810000000,7702589440,45
1465468081474,53870000000,7702581248,46
1495471860158,57550000000,7712993280,46
1525478349212,57610000000,7712866304,46
1555483577112,61120000000,7721127936,45
1585489892087,61180000000,7721254912,45
1615495422213,64710000000,7731539968,45
1645501960862,64840000000,7731666944,45
1675507608483,68010000000,7739285504,45
1705513704025,68080000000,7739285504,45
1735519128497,70840000000,7744991232,46
1765525090587,70890000000,7744983040,47
1795530164870,73400000000,7752482816,46
1825536312300,73460000000,7752482816,46
1855541488149,75670000000,7760736256,46
1885547753425,75740000000,7760863232,46
1915552931224,77680000000,7764045824,45
1945558919790,77740000000,7764172800,45
1975564092698,79420000000,7766712320,45
2005570149084,79480000000,7766577152,45
2035575301143,80870000000,7770894336,45
2065581525139,80960000000,7770886144,46
2095586426884,82060000000,7777361920,46
2125592984070,82130000000,7777107968,46
2155597912834,83020000000,7777632256,44
2185603912081,83080000000,7777632256,44
2215609390588,83750000000,7776624640,43
2245615505495,83810000000,7776497664,43
2275620447799,84280000000,7780179968,43
2305626389643,84340000000,7779934208,43
2335631440179,84640000000,7779926016,44
2365636016172,84700000000,7779790848,45
2395640911064,84860000000,7779799040,44
2425647070615,84920000000,7779672064,44
2455652071286,85010000000,7779688448,42
2485658047100,85140000000,7779688448,42
2515663072540,85180000000,7779696640,41
2545669169755,85270000000,7779696640,41
2575674292698,85340000000,7779577856,40
2605680302977,85400000000,7779450880,40
2635685732106,85560000000,7779459072,39
2665691708960,85620000000,7779450880,40
2695696891827,85950000000,7779155968,45
2725702950630,86010000000,7779282944,45
2755707885358,86450000000,7784505344,43
2785713882389,86500000000,7784505344,43
2815718745026,87180000000,7788552192,45
2845724840642,87230000000,7788425216,45
2875729832959,88120000000,7790338048,44
2905735578684,88190000000,7790329856,44
2935740647769,89350000000,7800860672,45
2965746341343,89420000000,7800598528,46
2995751555946,90970000000,7807328256,46
3025757531231,91030000000,7807201280,46
3055762393321,92780000000,7806201856,44
3085768583538,92830000000,7806201856,44
3115773290534,94860000000,7781052416,45
3145779210377,94910000000,7781052416,45
3175783918215,97220000000,7778885632,45
3205789677717,97270000000,7779020800,45
3235794347925,99850000000,7764680704,44
3265799962440,99900000000,7764418560,45
3295805203541,102730000000,7741227008,45
3325811140047,102780000000,7741227008,45
3355815903780,105820000000,7734337536,45
3385823201751,105880000000,7734337536,45
3415828063476,109130000000,7700434944,44
3445833933014,109180000000,7700434944,44
3475838866165,112560000000,7688626176,44
3505844815321,112630000000,7688372224,44
3535849823405,116150000000,7686975488,44
3565855836950,116200000000,7686713344,45
3595860695424,119860000000,7685824512,45
3625866792900,119920000000,7684173824,45
3655879064030,123610000000,7692435456,44
3685884991501,123660000000,7692562432,44
3715890219707,127410000000,7703982080,44
3745896431785,127450000000,7704117248,44
3775901402382,131190000000,7715028992,45
3805908232240,131240000000,7715155968,45
3835913088577,135030000000,7719735296,44
3865919388936,135090000000,7719727104,45
3895924430678,138650000000,7712354304,46
3925930352972,138700000000,7711719424,46
3955935271324,142090000000,7710593024,44
3985940996682,142150000000,7710466048,44
4015946233543,145350000000,7691665408,45
4045952100931,145400000000,7691665408,45
4075956939943,148410000000,7699165184,44
4105962720627,148460000000,7699292160,44
4135968022961,151160000000,7701696512,45
4165974366719,151210000000,7701561344,46
4195979318156,153710000000,7703855104,45
4225985251769,153760000000,7703068672,45
4255990169041,155950000000,7702298624,45
4285995946701,156000000000,7702425600,45
4316000626045,156210000000,7748517888,44
4346006709641,156260000000,7748390912,44
4376011842873,156310000000,7748399104,43
4406018143460,156360000000,7749050368,43
